device_type,devices,total_checkouts,avg_borrowing_frequency_per_month,avg_utilization_rate,avg_checkout_duration_hours,avg_turnaround_hours
Laptop,78,4672,1.6188496188496189,0.48920212762656806,214.97542760378244,388.9839772947008
Monitor,52,1914,0.9948024948024948,0.44125705968996637,316.1816472910446,625.9887461068731
Tablet,52,1322,0.6871101871101872,0.1298380640912848,135.1606972645075,957.6081024790601
Camera,52,676,0.35135135135135137,0.03786807700506398,75.95440364054649,1754.0434973711465
Projector,26,408,0.42411642411642414,0.024700237338975764,42.0758013952479,1449.5065982519338
